Power plant;HV-B Station;HV-A Station;LV Station;Company;Individual;Capacity;Load
1;-;-;-;-;-;2707288990;-
1;1;-;-;-;-;916264250;-
1;1;-;-;71;-;-;213302747
1;1;1;-;-;-;916264250;-
1;-;1;-;61;-;-;226765650
1;-;1;1;-;-;241999040;-
1;-;-;1;1;-;-;96811846
1;-;-;1;-;21;-;28198359
1;-;-;1;-;22;-;26074220
1;-;-;1;-;23;-;20274618
1;-;1;2;-;-;382635838;-
1;-;-;2;2;-;-;87678035
1;-;-;2;-;24;-;25315611
1;-;-;2;-;25;-;27415657
1;-;-;2;-;26;-;21164380
1;-;1;3;-;-;291629372;-
1;-;-;3;3;-;-;87081349
1;-;-;3;-;27;-;27439742
1;-;-;3;-;28;-;21372652
1;-;-;3;-;29;-;22139671
1;-;-;3;-;30;-;24395748
1;2;-;-;-;-;929226439;-
1;2;-;-;72;-;-;199251210
1;2;2;-;-;-;262751441;-
1;-;2;-;62;-;-;208939617
1;-;2;4;-;-;130918331;-
1;-;-;4;4;-;-;109863853
1;-;-;4;-;31;-;29518559
1;-;-;4;-;32;-;26326149
1;-;2;5;-;-;131833110;-
1;-;-;5;5;-;-;106882485
1;-;-;5;-;33;-;26414187
1;-;-;5;-;34;-;21655845
1;2;3;-;-;-;381686682;-
1;-;3;-;63;-;-;162310400
1;-;3;6;-;-;161908098;-
1;-;-;6;6;-;-;88353050
1;-;-;6;7;-;-;108114500
1;-;-;6;8;-;-;116481301
1;-;-;6;-;35;-;29433897
1;-;-;6;-;36;-;21890244
1;-;3;7;-;-;219778584;-
1;-;-;7;9;-;-;117685819
1;-;-;7;-;37;-;25290499
1;-;-;7;-;38;-;22207938
1;2;4;-;-;-;284788316;-
1;-;4;-;64;-;-;178817352
1;-;4;8;-;-;152279330;-
1;-;-;8;10;-;-;88949037
1;-;-;8;11;-;-;105967169
1;-;-;8;-;39;-;26540555
1;-;-;8;-;40;-;29009581
1;-;4;9;-;-;132508986;-
1;-;-;9;12;-;-;89254497
1;-;-;9;13;-;-;96870145
1;-;-;9;-;41;-;25006360
1;-;-;9;-;42;-;20329381
1;-;-;9;-;43;-;27267861
1;3;-;-;-;-;861798301;-
1;3;-;-;73;-;-;186855839
1;3;-;-;74;-;-;182648550
1;3;5;-;-;-;348480321;-
1;-;5;-;65;-;-;175388585
1;-;5;-;66;-;-;243032031
1;-;5;-;67;-;-;232836437
1;-;5;10;-;-;200301465;-
1;-;-;10;14;-;-;88514679
1;-;-;10;-;44;-;23074076
1;-;-;10;-;45;-;26514477
1;-;-;10;-;46;-;23955876
1;-;5;11;-;-;148178856;-
1;-;-;11;15;-;-;118776464
1;-;-;11;-;47;-;22991281
1;-;-;11;-;48;-;29112418
1;-;-;11;-;49;-;20794668
1;3;6;-;-;-;305062229;-
1;-;6;-;68;-;-;204644960
1;-;6;12;-;-;122352561;-
1;-;-;12;16;-;-;85577082
1;-;-;12;-;50;-;22971057
1;-;-;12;-;51;-;27317393
1;-;6;13;-;-;182709668;-
1;-;-;13;17;-;-;121247424
1;-;-;13;-;52;-;22490839
1;-;-;13;-;53;-;25418298
1;-;-;13;-;54;-;26582426
1;3;7;-;-;-;208255751;-
1;-;7;-;69;-;-;155738803
1;-;7;14;-;-;122456466;-
1;-;-;14;18;-;-;105726119
1;-;-;14;-;55;-;25329713
1;-;-;14;-;56;-;25029501
1;-;7;15;-;-;85799285;-
1;-;-;15;19;-;-;79045317
1;-;-;15;-;57;-;24348496
1;-;-;15;-;58;-;22983224
2;-;-;-;-;-;3292711010;-
2;4;-;-;-;-;3292711010;-
2;4;-;-;75;-;-;255745631
2;4;8;-;-;-;3292711010;-
2;-;8;-;70;-;-;242827234
2;-;8;16;-;-;3292711010;-
2;-;-;16;20;-;-;110945777
2;-;-;16;-;59;-;26269182
2;-;-;16;-;60;-;25423772
